06N,06MAGNA
RDL,RADPOL
RDN,REDAN
RES,RESBUD
RFK,RAFAKO
RHD,REINHOLD
RLP,RELPOL
RMK,REMAK
RNK,RANKPROGR
ROB,ROBYG
RON,RONSON
RPC,ROPCZYCE
RWL,RAWLPLUG
SAN,SANTANDER
SCO,SCOPAK
SEK,SEKO
SEL,SELENAFM
SEN,SERINUS
SFG,SILVANO
SFS,SFINKS
SGN,SYGNITY
SHG,STARHEDGE
SKA,SNIEZKA
SKH,SKARBIEC
SKT,SKOTAN
SLV,SELVITA
SME,SIMPLE
SMT,SMT
SNK,SANOK
SNS,SYNTHOS
SNT,SYNEKTIK
SOL,SOLAR
SON,SONEL
SPH,SOPHARMA
STF,STALPROFI
STP,STALPROD
STX,STALEXP
SUW,SUWARY
SWG,SECOGROUP
TAR,TARCZYNSKI
TEL,TELL
TER,TERESA
TFO,TFONE
TIM,TIM
TLX,TALEX
TMR,TATRY
TNX,TALANX
TOA,TOYA
TOR,TORPOL
TPE,TAURONPE
TRI,TRITON
TRK,TRAKCJA
TRN,TRANSPOL
TRR,TERMOREX
TSG,TESGAS
TVN,TVN
UCG,UNICREDIT
ULM,ULMA
UNI,UNIBEP
URS,URSUS
VGO,VIGOSYS
VIN,VINDEXUS
VOT,VOTUM
VOX,VOXEL
VST,VISTULA
VTG,VANTAGE
VTL,VISTAL
WAS,WASKO
WDM,DMWDM
WDX,WANDALEX
WIK,WIKANA
WIS,WINVEST
WLB,WILBO
WLT,WIELTON
WOJ,WOJAS
WSE,WORKSERV
WWL,WAWEL
WXF,WARIMPEX
YWL,YAWAL
ZEP,ZEPAK
ZKA,ZETKAMA
ZMT,ZAMET
ZRE,ZREMB
ZST,ZASTAL
ZUE,ZUE
ZUK,STAPORKOW
WIG,WIG
WIG20,WIG20
